dt,ticker,close,high,low
2016-03-24,CAT,75.35,75.75,72.73
2016-03-24,CVS,101.43,101.47,100.0
2016-03-24,F,13.05,13.2,12.78
2016-03-24,FDX,162.65,162.8,160.54
2016-03-28,AAL,40.9,41.34,40.33
2016-03-28,AIG,53.45,53.595,52.51
2016-03-28,CAT,75.4,75.66,74.46
2016-03-28,CVS,101.84,102.229,101.14
2016-03-28,F,13.15,13.17,13.06
2016-03-28,FDX,162.45,162.89,160.385
2016-03-29,AAL,41.36,41.8,40.77
2016-03-29,AIG,53.41,53.705,52.99
2016-03-29,CAT,75.86,76.29,74.19
2016-03-29,CVS,102.47,102.84,101.01
2016-03-29,F,13.2,13.2,12.97
2016-03-29,FDX,162.99,163.0862,160.67
2016-03-30,AAL,41.39,42.0699,41.36
2016-03-30,AIG,54.52,54.9,53.77
2016-03-30,CAT,76.61,77.25,76.01
2016-03-30,CVS,103.95,104.4,102.75
2016-03-30,F,13.35,13.44,13.245
2016-03-30,FDX,161.57,163.47,161.47
2016-03-31,AAL,41.01,41.68,40.98
2016-03-31,AIG,54.05,55.66,53.95
2016-03-31,CAT,76.36,77.13,76.24
2016-03-31,CVS,103.73,104.4,103.6
2016-03-31,F,13.54,13.54,13.31
2016-03-31,FDX,162.72,162.94,160.65
2016-04-01,AAL,39.64,40.86,39.27
2016-04-01,AIG,54.89,54.99,53.71
2016-04-01,CAT,76.8,76.87,74.67
2016-04-01,CVS,104.82,105.0,102.91
2016-04-01,F,13.11,13.5,13.05
2016-04-01,FDX,163.67,163.99,161.1
2016-04-04,AAL,39.37,40.6,39.1511
2016-04-04,AIG,54.53,54.9,54.32
2016-04-04,CAT,75.67,77.04,75.42
2016-04-04,CVS,104.48,105.1,103.6
2016-04-04,F,12.8,13.17,12.76
2016-04-04,FDX,163.8,165.51,163.18
2016-04-05,AAL,38.94,39.38,38.74
2016-04-05,AIG,54.4,54.4,53.58
2016-04-05,CAT,75.38,75.85,74.6
2016-04-05,CVS,103.22,104.21,102.95
2016-04-05,F,12.81,12.85,12.52
2016-04-05,FDX,163.8,163.8,161.65
2016-04-06,AAL,38.99,39.34,38.34
2016-04-06,AIG,54.11,54.2,53.47
2016-04-06,CAT,75.1,75.57,73.7
2016-04-06,CVS,103.3228,103.91,102.74
2016-04-06,F,12.82,12.87,12.65
2016-04-06,FDX,162.77,163.14,160.73
2016-04-07,AAL,38.29,39.05,37.91
2016-04-07,AIG,53.11,54.0,52.81
2016-04-07,CAT,74.17,74.91,73.76
2016-04-07,CVS,100.93,103.24,100.4437
2016-04-07,F,12.52,12.82,12.39
2016-04-07,FDX,161.28,162.55,160.8
2016-04-08,AAL,38.48,39.0,38.12
2016-04-08,AIG,53.16,53.66,53.05
2016-04-08,CAT,74.35,75.3,74.0
2016-04-08,CVS,101.47,101.97,101.15
2016-04-08,F,12.55,12.78,12.51
